police_force,hotspot_collisions,hotspot_clusters,hotspot_fatalities,avg_risk_score,total_collisions,hotspot_pct
1,20221,101,101,15.89806933386084,20834,97.1
20,4022,107,40,8.940805569368473,4622,87.0
13,2897,105,18,10.78965136347946,4060,71.4
44,2002,102,11,9.477982017982018,3429,58.4
47,1994,91,14,10.593420260782347,3308,60.3
6,1957,109,31,12.258758303525804,2793,70.1
46,1947,107,19,11.113908577298407,3344,58.2
4,1736,83,17,11.803208525345621,2731,63.6
45,1515,102,9,10.40320792079208,2454,61.7
42,1488,103,9,9.323837365591398,2811,52.9
5,1420,62,9,8.703901408450704,1902,74.7
31,1334,48,14,8.586859070464769,2069,64.5
43,1330,79,10,7.159225563909775,2877,46.2
14,1295,85,18,11.854857142857142,2107,61.5
52,1293,67,11,6.888453209590101,2501,51.7
16,1221,31,8,8.688214578214577,1896,64.4
99,1129,88,19,13.745518157661648,4167,27.1
10,1126,66,15,8.8397513321492,1834,61.4
50,1024,73,14,8.555751953125,2820,36.3
41,959,70,7,7.882971845672576,1648,58.2
55,775,36,4,6.592012903225807,1393,55.6
40,756,30,6,7.8542328042328045,1173,64.5
30,681,41,5,9.54345080763583,1656,41.1
36,652,39,6,10.610659509202453,1628,40.0
21,637,50,12,8.51574568288854,1496,42.6
34,615,35,7,7.896910569105692,1240,49.6
35,609,40,5,8.874384236453203,1373,44.4
32,596,46,10,8.237818791946308,1725,34.6
33,573,32,4,9.767696335078535,1206,47.5
7,561,54,9,9.728627450980392,1475,38.0
54,497,35,3,5.874688128772635,1262,39.4
37,445,32,3,8.914269662921349,1141,39.0
12,404,28,3,6.708787128712871,1347,30.0
53,403,25,7,10.462828784119107,1030,39.1
23,390,33,5,9.577769230769231,1092,35.7
22,279,27,3,9.709498207885304,1539,18.1
62,218,23,1,5.237477064220183,799,27.3
3,214,19,4,10.784999999999998,794,27.0
17,194,14,2,9.705309278350516,500,38.8
11,166,21,3,12.790421686746988,571,29.1
48,166,1,1,16.71,166,100.0
61,158,20,3,12.169620253164556,569,27.8
63,121,15,1,12.517685950413224,1024,11.8
60,63,8,1,12.13031746031746,521,12.1
