risk_rank,hotspot_cluster,collision_count,total_casualties,fatal_count,serious_count,fatality_rate,serious_rate,risk_score,risk_tier,center_lat,center_lon,avg_speed_limit,pct_dark,pct_wet,pct_rural
1,1960,5,10,2,1,40.0,60.0,42.0,Critical,53.024378,-0.42991399999999996,46.0,40.0,60.0,100.0
2,1633,6,7,2,2,33.3,66.7,40.34,Critical,51.09042333333334,-1.294415,38.333333333333336,50.0,16.7,100.0
3,806,3,4,1,1,33.3,66.7,39.33,Critical,54.63825666666667,-3.56451,30.0,33.3,0.0,66.7
4,570,5,7,1,3,20.0,80.0,38.0,Critical,53.355106,-3.026618,24.0,100.0,60.0,20.0
5,2213,5,10,0,5,0.0,100.0,36.4,Critical,51.29732799999999,-0.01695,60.0,20.0,60.0,100.0
6,2282,5,8,1,2,20.0,60.0,35.6,Critical,50.87444,-0.927882,60.0,40.0,80.0,100.0
7,1786,6,10,1,3,16.7,66.7,34.34,Critical,51.31748666666667,0.6407933333333333,66.66666666666667,33.3,66.7,100.0
8,1829,5,7,1,2,20.0,60.0,34.0,Critical,51.400138000000005,0.440602,68.0,40.0,40.0,100.0
9,1477,5,9,1,2,20.0,60.0,33.6,Critical,50.846296,0.396406,60.0,40.0,20.0,100.0
10,628,5,7,1,2,20.0,60.0,33.6,Critical,54.260934,-2.812272,68.0,20.0,40.0,100.0
11,487,6,11,1,3,16.7,66.7,33.34,Critical,53.41504833333334,-2.64958,38.333333333333336,50.0,50.0,100.0
12,928,5,7,1,2,20.0,60.0,32.4,Critical,53.19727400000001,-2.467952,50.0,40.0,40.0,100.0
13,2235,6,6,1,3,16.7,66.7,32.34,Critical,52.34347333333333,-1.340285,51.666666666666664,33.3,33.3,100.0
14,517,7,7,1,4,14.3,71.4,32.29,Critical,56.001424285714286,-3.728387142857143,40.0,71.4,42.9,14.3
15,1211,4,10,0,4,0.0,100.0,32.0,Critical,52.54387,-2.0161075000000004,30.0,50.0,25.0,0.0
16,844,5,6,1,2,20.0,60.0,31.6,Critical,52.29981,-3.510398,24.0,60.0,20.0,100.0
17,2327,8,13,1,5,12.5,75.0,31.25,Critical,55.88077875,-4.303452500000001,30.0,37.5,62.5,0.0
18,647,5,7,0,5,0.0,100.0,31.2,Critical,54.878836,-1.3716059999999999,44.0,20.0,0.0,0.0
19,1388,4,5,0,4,0.0,100.0,31.0,Critical,52.330455,-0.17661,30.0,0.0,25.0,0.0
20,1583,6,7,1,3,16.7,66.7,31.0,Critical,51.84688833333333,-2.1582183333333336,30.0,16.7,50.0,16.7
